351!,!2024-08-27T00:02:14.441976500!,!2024-08-28T00:02:14.441976500!,!TARUMT!,!0!,!0!,!!,!UPCOMING
623!,!2024-08-27T00:03:07.926498600!,!2024-08-28T00:03:07.926498600!,!TARUMT!,!0!,!0!,!!,!UPCOMING
937!,!2024-08-27T00:03:07.951495900!,!2024-08-28T00:03:07.951495900!,!TARUMT!,!0!,!0!,!!,!UPCOMING
513!,!2024-08-27T00:03:07.951495900!,!2024-08-28T00:03:07.951495900!,!TARUMT!,!0!,!0!,!!,!UPCOMING
444!,!2024-08-27T00:03:07.952496500!,!2024-08-28T00:03:07.952496500!,!TARUMT!,!0!,!0!,!!,!UPCOMING
10!,!2024-08-27T00:03:07.952496500!,!2024-08-28T00:03:07.952496500!,!TARUMT!,!0!,!0!,!!,!UPCOMING
352!,!2024-08-27T00:03:07.952496500!,!2024-08-28T00:03:07.952496500!,!TARUMT!,!0!,!0!,!!,!UPCOMING
803!,!2024-08-27T00:03:07.953493700!,!2024-08-28T00:03:07.953493700!,!TARUMT!,!0!,!0!,!!,!UPCOMING
444!,!2024-08-27T00:03:07.953493700!,!2024-08-28T00:03:07.953493700!,!TARUMT!,!0!,!0!,!!,!UPCOMING
659!,!2024-08-27T00:03:07.954493500!,!2024-08-28T00:03:07.954493500!,!TARUMT!,!0!,!0!,!!,!UPCOMING
995!,!2024-08-27T00:03:07.954493500!,!2024-08-28T00:03:07.954493500!,!TARUMT!,!0!,!0!,!!,!UPCOMING
711!,!2024-08-27T00:03:07.954493500!,!2024-08-28T00:03:07.954493500!,!TARUMT!,!0!,!0!,!!,!UPCOMING
484!,!2024-08-27T00:03:07.955495600!,!2024-08-28T00:03:07.955495600!,!TARUMT!,!0!,!0!,!!,!UPCOMING
292!,!2024-08-27T00:03:07.955495600!,!2024-08-28T00:03:07.955495600!,!TARUMT!,!0!,!0!,!!,!UPCOMING
811!,!2024-08-27T00:03:07.955495600!,!2024-08-28T00:03:07.955495600!,!TARUMT!,!0!,!0!,!!,!UPCOMING
75!,!2024-08-27T00:03:07.956496800!,!2024-08-28T00:03:07.956496800!,!TARUMT!,!0!,!0!,!!,!UPCOMING
485!,!2024-08-27T00:03:07.956496800!,!2024-08-28T00:03:07.956496800!,!TARUMT!,!0!,!0!,!!,!UPCOMING
1!,!2024-08-27T00:03:07.956496800!,!2024-08-28T00:03:07.956496800!,!TARUMT!,!0!,!0!,!!,!UPCOMING
7!,!2024-08-27T00:03:07.957498200!,!2024-08-28T00:03:07.957498200!,!TARUMT!,!0!,!0!,!!,!UPCOMING
31!,!2024-08-27T00:03:07.957498200!,!2024-08-28T00:03:07.957498200!,!TARUMT!,!0!,!0!,!!,!UPCOMING
340!,!2024-08-27T00:03:07.957498200!,!2024-08-28T00:03:07.957498200!,!TARUMT!,!0!,!0!,!!,!UPCOMING
640!,!2024-08-27T00:03:07.958494800!,!2024-08-28T00:03:07.958494800!,!TARUMT!,!0!,!0!,!!,!UPCOMING
762!,!2024-08-27T00:03:07.958494800!,!2024-08-28T00:03:07.958494800!,!TARUMT!,!0!,!0!,!!,!UPCOMING
102!,!2024-08-27T00:03:07.958494800!,!2024-08-28T00:03:07.958494800!,!TARUMT!,!0!,!0!,!!,!UPCOMING
935!,!2024-08-27T00:03:07.959494!,!2024-08-28T00:03:07.959494!,!TARUMT!,!0!,!0!,!!,!UPCOMING
282!,!2024-08-27T00:03:07.959494!,!2024-08-28T00:03:07.959494!,!TARUMT!,!0!,!0!,!!,!UPCOMING
52!,!2024-08-27T00:03:07.959494!,!2024-08-28T00:03:07.959494!,!TARUMT!,!0!,!0!,!!,!UPCOMING
940!,!2024-08-27T00:03:07.960494200!,!2024-08-28T00:03:07.960494200!,!TARUMT!,!0!,!0!,!!,!UPCOMING
139!,!2024-08-27T00:03:07.960645600!,!2024-08-28T00:03:07.960645600!,!TARUMT!,!0!,!0!,!!,!UPCOMING
890!,!2024-08-27T00:03:07.960645600!,!2024-08-28T00:03:07.960645600!,!TARUMT!,!0!,!0!,!!,!UPCOMING
650!,!2024-08-27T00:03:07.961497100!,!2024-08-28T00:03:07.961497100!,!TARUMT!,!0!,!0!,!!,!UPCOMING
